14/09/2018 13:45:26.979 [main] INFO  h.b.t.a.TasksRunnerApplication - Starting TasksRunnerApplication v1.0-SNAPSHOT on daniel-HP-240-G4-Notebook-PC with PID 8838 (/home/daniel/Documents/Work/IdeaProjects/Tsoft-Analytics-Bridge/hubble.backend.tasksrunner/target/hubble.backend.tasksrunner-1.0-SNAPSHOT.jar started by daniel in /home/daniel/Documents/Work/IdeaProjects/Tsoft-Analytics-Bridge/hubble.backend.tasksrunner/target) 
14/09/2018 13:45:27.064 [main] INFO  h.b.t.a.TasksRunnerApplication - The following profiles are active: test 
14/09/2018 13:45:51.942 [main] INFO  h.b.t.a.TasksRunnerApplication - Started TasksRunnerApplication in 26.7 seconds (JVM running for 31.949) 
14/09/2018 13:46:13.261 ["Hubble Job Quartz Scheduler"_Worker-3] WARN  h.b.p.p.i.bsm.BsmParserDataImpl - No se obtuvo data de BSM 
14/09/2018 13:46:13.291 ["Hubble Job Quartz Scheduler"_Worker-3] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de bsm. Resultado: FAILURE 
14/09/2018 13:46:13.342 ["Hubble Job Quartz Scheduler"_Worker-3] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de bsm. Resultado: FAILURE 
14/09/2018 13:46:13.350 ["Hubble Job Quartz Scheduler"_Worker-3] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de bsm. Resultado: FAILURE 
14/09/2018 13:46:19.365 ["Hubble Job Quartz Scheduler"_Worker-4] WARN  h.b.p.p.i.bsm.BsmParserDataImpl - No se obtuvo data de BSM 
14/09/2018 13:46:19.369 ["Hubble Job Quartz Scheduler"_Worker-4] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de bsm. Resultado: FAILURE 
14/09/2018 13:46:19.372 ["Hubble Job Quartz Scheduler"_Worker-4] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de bsm. Resultado: FAILURE 
14/09/2018 13:46:19.373 ["Hubble Job Quartz Scheduler"_Worker-4] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de bsm. Resultado: FAILURE 
14/09/2018 13:46:31.637 ["Hubble Job Quartz Scheduler"_Worker-1] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de jira. Resultado: SUCCESS 
14/09/2018 13:46:31.638 ["Hubble Job Quartz Scheduler"_Worker-1] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de jira. Resultado: SUCCESS 
14/09/2018 13:46:31.639 ["Hubble Job Quartz Scheduler"_Worker-1] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de jira. Resultado: SUCCESS 
14/09/2018 13:46:47.240 ["Hubble Job Quartz Scheduler"_Worker-3] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de sitescope. Resultado: SUCCESS 
14/09/2018 13:46:47.244 ["Hubble Job Quartz Scheduler"_Worker-3] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de sitescope. Resultado: SUCCESS 
14/09/2018 13:46:47.245 ["Hubble Job Quartz Scheduler"_Worker-3] INFO  h.b.p.c.f.TaskRunnerExecutionFactory - Ejecucion de sitescope. Resultado: SUCCESS 
